X,Y,COMMUNE,STATUT,DESIGNATIO,TOTAL
5.247274228463468,43.442498691742927,VITROLLES,PUBLIC,CLG HENRI FABRE,517
5.457030759695034,43.513838064978493,AIX-EN-PROVENCE,PUBLIC,CLG ARC DE MEYRAN,847
5.443908512053214,43.534295053853747,AIX-EN-PROVENCE,PUBLIC,CLG Campra,464
5.416359308357426,43.534257794844272,AIX-EN-PROVENCE,PUBLIC,CLG Château Double,665
5.41459104491615,43.527459842331815,AIX-EN-PROVENCE,PUBLIC,CLG Jas de Bouffan,379
5.440577538707726,43.536414681769109,AIX-EN-PROVENCE,PUBLIC,CLG Rocher du Dragon,678
5.428826723834204,43.51511261595391,AIX-EN-PROVENCE,PRIVE,CLG LYC La Nativité,850
5.453491261347031,43.534440361889907,AIX-EN-PROVENCE,PRIVE,CLG LYC Le Sacré Coeur,979
5.448230091850755,43.532763000840681,AIX-EN-PROVENCE,PRIVE,CLG St Joseph,224
5.446488319451768,43.532821418216912,AIX-EN-PROVENCE,PRIVE,CLG PRV STE CATHERINE DE SIENNE,245
5.350369105195348,43.447684691494999,CABRIES,PUBLIC,CLG Mauron,528
5.55199337489734,43.448660915253932,FUVEAU,PUBLIC,CLG Font d'Aurumy,871
5.572296184310114,43.648806011820639,PEYROLLES-EN-PROVENCE,PUBLIC,CLG JEAN JAURES,752
5.321345913017404,43.656652997769982,ROGNES,PUBLIC,CLG LES GARRIGUES,661
5.621582353047976,43.481368651256659,ROUSSET,PUBLIC,CLG de Rousset,563
5.434031405411226,43.435354376879303,SIMIANE-COLLONGUE,PUBLIC,François MITTERRAND,506
5.686392280991004,43.448727558823592,TRETS,PUBLIC,CLG Hauts de l'Arc,506
5.2737444835168,43.430762920623017,VITROLLES,PUBLIC,CLG SIMONE DE BEAUVOIR,457
5.538277872509505,43.434071258558106,GREASQUE,PUBLIC,CLG GREASQUE (DE),775
5.463010718684115,43.446087341059304,GARDANNE,PUBLIC,CLG PESQUIER (QUARTIER DU),623
5.330714092805265,43.401922446463409,LES PENNES-MIRABEAU,PUBLIC,CLG JACQUES MONOD,734
5.44446912427485,43.527438698965469,AIX-EN-PROVENCE,PUBLIC,CLG Mignet,942
5.446643685501124,43.53156389591561,AIX-EN-PROVENCE,PUBLIC,CLG des Precheurs,414
5.446375603857565,43.541449703075763,AIX-EN-PROVENCE,PUBLIC,CLG St Eutrope,658
5.403692859215933,43.440977876980604,BOUC-BEL-AIR,PUBLIC,CLG Brassens,542
5.261431024130589,43.654085576028443,LAMBESC,PUBLIC,CLG JEAN GUEHENNO,581
5.304566746812771,43.412602513637559,LES PENNES-MIRABEAU,PRIVE,CLG PRV STE ELISABETH,596
5.26971792862799,43.424878307178119,VITROLLES,PUBLIC,CLG Camille Claudel,367
5.245808178931695,43.450962978397264,VITROLLES,PUBLIC,CLG HENRI BOSCO,705
5.465965401234588,43.455391628242417,GARDANNE,PUBLIC,CLG GABRIEL PERI,356
5.158934094847793,43.487388099051692,BERRE-L'ETANG,PUBLIC,FERNAND LEGER,572
4.938236183131049,43.447559691979983,FOS-SUR-MER,PUBLIC,ANDRE MALRAUX,841
4.978907774821868,43.507850155992955,ISTRES,PUBLIC,ELIE COUTAREL,685
4.989697829403863,43.503098172410624,ISTRES,PUBLIC,ALAIN SAVARY,650
4.983852194096623,43.512122365241453,ISTRES,PUBLIC,LOUIS PASTEUR,599
4.978910172785976,43.498463072281162,ISTRES,PUBLIC,ALPHONSE DAUDET,524
5.188550412001372,43.550467076215682,LA FARE-LES-OLIVIERS,PUBLIC,LOUIS LEPRINCE RINGUET,671
5.173365044076469,43.732510472831372,MALLEMORT,PUBLIC,COLLINES DURANCE,538
5.056536069331071,43.398477866028948,MARTIGUES,PUBLIC,GERARD PHILIPPE,441
5.04968698735665,43.411237436896414,MARTIGUES,PUBLIC,HENRI WALLON,439
5.037017681007423,43.414408913328337,MARTIGUES,PUBLIC,MARCEL PAGNOL,373
5.011492081453287,43.414503216273737,MARTIGUES,PUBLIC,HONORE DAUMIER,510
5.006291309310236,43.594961968866905,MIRAMAS,PUBLIC,MIRAMARIS,325
4.996075638877143,43.576415052092649,MIRAMAS,PUBLIC,ALBERT CAMUS,449
