nom,lon,lat
Espace Plumier,5.631362999999999,43.369174
Maison publique de quartier de Trinquetaille,4.620781,43.680674
Maison des Associations,5.562679,43.453776
La Fabrique,4.845673,43.781562
Maison publique de quartier de la Roquette,4.623406,43.676916
Ludothèque Ludo-minots,5.391022,43.301539
Asile 404,5.3829972,43.2927223
Espace Seniors Les Cigales,5.154877,43.63555
Place de la République à Alleins,5.162212,43.704371
Ludothèque de la M.P.T. Corderie,5.369491,43.290384
Maison de Quartier de la Tourtelle,5.563594,43.2904
"Maison publique de quartier, centre social Les Tuiles Bleues de Mas Thibert",4.729948,43.557665
Centre Culturel Georges Sand,5.265538,43.450861
La Halle,5.478951,43.4590366
Complexe sportif et culturel,5.446332,43.402413
Dock?s Café,5.376694,43.298149
Jeu Pyramide,5.03933,43.408857
OPT : Scène de spectacle et de promotion lyrique Euro-Méditerrannéenne,5.4090285,43.2422876
Ecole Municipale de Musique et de Danse,5.248844,43.447473
Donation Mario Prassinos,4.83106,43.786018
Espace Jeunes de Vernègues,5.168362,43.685119
Espace Clémént David,5.6025435,43.3490279
Pier Lobo - Cours de Chant,5.0472405,43.4093309
Maison publique de quartier de Griffeuille,4.6307373046875,43.675197312175534
Espace Jeunes d'Alleins,5.155935,43.705298
"Centre de Loisirs ""Les Tout Chatou""",5.207176208496094,43.69347662544489
"Centre de loisirs ""les Petits Curieux""",5.207262,43.693632
Stèle,5.4463322,43.4024129
Cour du Collège,5.4463322,43.4024129
Tour de l'Horloge,5.4463322,43.4024129
Auditorium du Collège,5.4463322,43.4024129
Chapelle Saint Germain,5.434833,43.429668
Massif de l'Etoile,5.4463322,43.4024129
Sports Loisirs Culture Martigues ( SLCM ),5.048001,43.399254
Espace Baron de Chabert,4.74663,43.899547
Centre d'Arts Plastiques Fernand Léger,4.978282,43.406948
M.J.C,4.852141,43.882294
Boulodrome Jean Ramella,5.034508,43.550669
Maison des Jeunes et de la Culture,5.4847161,43.5983272
Ateliers du Festival,5.470333099365234,43.578867513963445
AtelieRnational,5.377049,43.3109277
Ecole municipale de musique,5.48555,43.458541
Maison du Combattant,5.3700682,43.2904377
Cynergie Hall,5.3841739,43.3003013
Vidéodrome,5.383739,43.294632
M2K13 - Marseille 2013 Le Off,5.3870421,43.3020944
Emouvance,5.3728766,43.299445
Editions Parenthèses,5.383006,43.293774
Shivas 97,5.416323999999999,43.27761900000001
Ostau dau Pais Marselhés,5.3839296,43.2950598
Tempo de la Cadenelle,5.3815805,43.2691849
Lollipop Music Store,5.383249,43.2912377
Foyer La Belle Vie,5.1487533,43.6322233
Atelier de Musique,5.161234,43.703713
Les Ateliers de l'Image,5.365898,43.296881
La Maison Numérique,5.413803,43.526258
Hangar de l'Abbé Dureau,5.150187,43.632344
Maison Maréchal Juin,5.433789,43.526651
Salle Léon Masson,5.446332,43.402413
Maison de la Francophonie,5.4010025,43.3065333
Espace Sénac,5.383438,43.297874
Le Percolateur,5.3937514,43.3020756
Maison Jacques Méli,5.04693,43.383976
Square Marius Magnan,5.4463322,43.4024129
La Mer Veilleuse,5.3839666,43.2918934
SAREV,5.384388,43.294803
Mund Art,5.3695805,43.3030218
Espace Michel Blaso,5.164636,43.38296
Centre culturel,5.569604,43.259273
Ecole municipale d'arts plastiques,5.218332,43.421274
Conservatoire de Musique Intercommunal Michel Petrucciani,4.992739,43.499091
Maison Eugénie Cotton,5.054983,43.408685
Auditoruim du Collège d'Eyguières,5.0078451,43.7100748
Espace Frédéric Mistral,5.581997,43.642784
Centre culturel Louis Aragon,5.366254,43.398759
Studio Meyes,5.602633,43.181658
Villa Khariessa,5.0700797,43.3985749
Mairie de Simiane Collongue,5.4463322,43.4024129
Bateau de pirate manège,4.85404348808288,43.88301891579659
Espace Jeunesse,5.448657,43.532623
CIAM - Centre International des Arts en Mouvement,5.393481,43.526016
Centre social du Château de l'Horloge,5.418552,43.527704
Zim Zam - Cirque pour tous,5.3837947,43.294558
"Maison publique de quartier, centre social Mas Clairanne",4.634334,43.691858
Bourse du travail,4.62696,43.674778
Maison Jeanne Pistoun - Canto Perdrix,5.048344,43.420173
Centre socio culturel Marie Louise Davin de Puyricard,5.417579,43.599787
Centre social les Amandiers - Adis,5.412472,43.532282
Espace Les Floralies,5.435384,43.515873
Centre socio culturel Aix Nord,5.445972,43.541331
Ecole de Musique de Vernègues,5.170198,43.685526
Le Comoedia,5.014758,43.584217
Ludothèque Le Cerf Volant,5.420731,43.582109
Salle polyvalente Frédéric Mistral,5.076484,43.748667
RedPlexus,5.3904579,43.3095508
"Il y'a les bons, les mauvais et le reste",5.218332,43.4212739
Les Troubadours,5.1883328,43.42979450000001
Salle Baugnies-de-Saint-Marceaux,5.602306,43.18351
Cité de la jeunesse,5.6668306,43.3628502
Le Comptoir de la Victorine,5.3808683,43.3116714
Centre socioculturel,5.03798,43.834378
Salle de l'Amitié des Paluds,4.902065,43.877232
L'intervalle,5.3862758,43.5032027
OU Lieu d'exposition pour l'Art Actuel,5.3901938,43.3029771
Salle des fêtes,5.509247,43.6296338
Kid et Sens,5.440166,43.52421
Foyer rural de St Cannat,5.2987208,43.620774
Maison du Projet - Fondation Luma,4.6328393,43.6748187
Ecole Régionale d'art Dramatique,5.226038,43.400807
Salle d'honneur du Château,5.685688,43.445693
Exposition Fernandel,5.170804,43.336427
Scène flottante du Canal saint - Sébastien (Festival de Martigues),5.052166,43.405765
Salle des associations,5.261712,43.653995
Fondation Camargo,5.531548,43.214541
Ludothèque Martingale,4.637093999999999,43.6936845
FreeSpace,4.624197,43.6766184
Ludothèque Martingale,4.6243751,43.6017739
Centre socio culturel Jean Paul Coste,5.456961,43.51367
Laure Autrement,4.627625399999999,43.678411
Animation culture sport,5.422568,43.580241
Relais Culturel,4.423736,43.450019
Maison de Lavéra,5.026957,43.385873
Maison de l'écriture et de la lecture,5.445453,43.316065
Maison de Notre Dame des Marins,5.047928,43.413187
Maison de Boudème,5.056945,43.395311
"Maison publique de quartier, centre social Christian Chèze",4.617054,43.668345
Salle de l'Espacier,4.904151,43.876304
Arènes Municipales,4.658654,43.807557
Arènes de Barbentane,4.747895,43.8986159
Espace Dany,5.177845962149036,43.72877603101906
Salle des Expositions,4.901919364929199,43.87534467823937
Maison de Paradis St Roch,5.03933,43.408857
Centre socio culturel,5.640655,43.44666
Place Pisavis,5.150244,43.631313
Maison de Jonquières,5.056639,43.399381
Université Martégale du Temps Libre (UMTL),5.055569,43.405437
Maison pour Tous,4.995824,43.500087
Salle des Arts,5.110217,43.332113
Salle des fêtes de Vernègues,5.190138,43.687608
Association du Méjan,4.624933,43.678602
Centre culturel Marcel Pagnol,4.914324,43.474548
Maison de la danse,4.99562,43.5002
Ludothèque,4.994271,43.500426
Conservatoire de Musique à rayonnement communal,5.217181,43.417228
Annexe de la bibliothèque,5.560919,43.4537819
Centre Culturel Communal de la Bouilladisse (CCCB),5.5958732,43.3951977
Maison de Croix Sainte,5.029123,43.410931
Café Musique Espace Léo Ferré,5.3776554,43.3157352
La Citerne,4.794014,43.743429
Pôle Culturel - Moulin de Saint Claude,5.6668306,43.3628502
MJC - Maison des jeunes et de la culture Jacques Prévert,5.440634,43.528334
Ludothèque Pile et Face,5.1008776,43.6506712
Centre d'Animation Municipal,5.232339,43.489508
Maison de Saint Julien - Saint Pierre,5.095267,43.362078
Féminin pluriel provence,5.3547034,43.2839895
Salle Jean et Pons Dedieu,4.629195,43.678951
Le cri du port,5.3808683,43.3116714
Alpilium,43.788681,4.835827
Conservatoire de Danse à rayonnement communal,5.2252386,43.4128985
Salle George Brassens,5.2675657,43.6534483
Espace Fernandel,5.151892,43.332156
LE SALON - BOUTIQUE EPHEMERE,5.096852999999999,43.6407715
Centre socioculturel,5.578302,43.383536
La Maison du Chant,5.3901128,43.3026162
Salle Peller,5.151959,43.630317
Centre d'Animation Pierre Miallet,4.938059,43.592026
Eglise Saint Pierre,5.4463322,43.4024129
Centre social et culturel La Grande Bastide,5.471864,43.516504
La Garenne,5.632659,43.44749
Maison de Pratiques Artistiques,5.5441498,43.2870499
Le Village du Festival de Martigues,5.046967,43.405659
Salle Polyvalente,5.170756,43.480422
Ballet Preljocaj - Centre chorégraphique national,5.440297,43.525363
Cité du Livre,5.439367,43.524884
Salle du Bois de l'Aune,5.414659,43.526195
La Mareschale - Maison de quartier d'Encagnane,5.432315,43.525371
Trébillane,5.355491,43.460894
"3bisF, lieu d'arts contemporains",5.43849,43.522785
Espace Tino Rossi,5.311969,43.410028
Salle des Vertus,5.673083,43.523177
La Capelane,5.2961357,43.4199498
Ludothèque la Marelle,5.625379,43.483033
IFAC,5.639774,43.446752
Salle Emilien Ventre,5.620417,43.480165
Seconde nature,5.443036,43.52857
Centre franco allemand de Provence,5.445675,43.530718
Centre social la Provence,5.434266,43.52001
Centre Darius Milhaud - Centre culturel juif,5.44276,43.524636
Centre la Baume les Aix,5.424007,43.502864
Institut de l'Image,5.439367,43.524884
"Conservatoire de musique, de danse et d'art dramatique Darius Milhaud",5.439554,43.525511
La Fonderie - Café Musiques,5.452264,43.531026
La Maison de l'Espagne,5.450864,43.530234
Le Jardin des Arts,5.365878,43.39835
Maison des Jeunes et de la Culture (MJC),5.059916,43.399568
Salle d'exposition de l'Office de Tourisme,5.347382,43.664044
"Conservatoire National de Région ""Pierre Barbizet"" - Salles de concert",5.3826917,43.2956189
Centre Culturel de l'UGAB,5.3999974,43.2579418
"Centre d'Etude, de Restauration et de Conservation des ?uvres ( CERCO )",4.639313,43.67328
Salle de danse-Quartier Vauban,4.795513,43.399104
CMA des Calanques,5.357749,43.2332897
Maison de quartier du Redon,5.4266427,43.2454224
Bastide de Fontvieille,5.492409,43.323231
Maison de Quartier Joseph Bonino,5.509247,43.3609248
Approches Cultures et Territoires,5.3668007,43.3008985
Maison de Quartier le Château Blanc,5.563594,43.2904
Centre de Ressources Vidéo des quartiers,5.3423992,43.3562929
Centre Culturel Indien Tagore,5.44048,43.277191
Les Carboni,5.368798,43.299287
Edition P,5.3900479,43.3030328
Espace Marcel Pagnol,5.164491,43.383669
