lat,lon,emplois
43.623852,4.008625,1.41
43.623852,4.008625,1.41
43.623852,4.008625,1.41
43.616035,4.020453,3.87
43.512103,4.136965,1.41
43.512103,4.136965,1.41
43.512103,4.136965,1.41
43.512103,4.136965,1.41
43.512103,4.136965,1.41
43.512103,4.136965,1.41
43.512103,4.136965,1.41
43.512103,4.136965,3.87
43.512103,4.136965,3.87
43.512103,4.136965,3.87
43.512103,4.136965,3.87
43.512103,4.136965,3.87
43.512103,4.136965,7.35
43.512103,4.136965,7.35
43.512103,4.136965,13.78
43.567296,4.200515,1.41
43.567296,4.200515,1.41
43.970264,4.208011,1.41
43.961352,4.210376,1.41
43.961352,4.210376,1.41
43.961352,4.210376,1.41
43.961352,4.210376,1.41
43.961352,4.210376,3.87
43.961352,4.210376,3.87
43.961352,4.210376,7.35
43.980793,4.21077,1.41
43.980793,4.21077,1.41
43.980793,4.21077,1.41
43.823796,4.325627,13.78
43.505358,4.353743,3.87
43.509951,4.354371,1.41
43.521773,4.35525,1.41
43.521773,4.35525,1.41
43.836497,4.361722,1.41
43.517565,4.36802,1.41
43.531537,4.368504,1.41
43.531537,4.368504,1.41
43.531537,4.368504,3.87
43.848997,4.374622,31.30
43.862324,4.376112,3.87
43.519102,4.37636,1.41
43.519102,4.37636,1.41
43.519102,4.37636,1.41
43.519102,4.37636,3.87
43.519102,4.37636,3.87
43.51303,4.381803,1.41
43.51303,4.381803,3.87
43.843497,4.385226,1.41
43.484035,4.393043,1.41
43.484035,4.393043,3.87
43.484035,4.393043,13.78
43.484035,4.393043,13.78
43.557218,4.397983,1.41
43.528937,4.399619,1.41
43.528937,4.399619,1.41
43.472677,4.399983,1.41
43.472677,4.399983,1.41
43.472677,4.399983,3.87
43.522566,4.400634,1.41
43.557723,4.403403,1.41
43.44906,4.404382,7.35
43.471894,4.406395,1.41
43.471894,4.406395,1.41
43.471894,4.406395,3.87
43.491967,4.413398,1.41
43.491967,4.413398,1.41
43.491967,4.413398,1.41
43.491967,4.413398,1.41
43.491967,4.413398,1.41
43.491967,4.413398,1.41
43.491967,4.413398,1.41
43.491967,4.413398,1.41
43.491967,4.413398,1.41
43.491967,4.413398,3.87
43.491967,4.413398,3.87
43.449638,4.420565,3.87
43.449899,4.422805,1.41
43.452979,4.42498,1.41
43.456668,4.424980,1.41
43.456668,4.424980,3.87
43.456668,4.424980,7.35
43.450236,4.425053,1.41
43.450236,4.425053,3.87
43.451325,4.425076,1.41
43.451047,4.425131,1.41
43.450501,4.426218,7.35
43.450668,4.426393,1.41
43.450333,4.426544,1.41
43.450333,4.426544,1.41
43.450333,4.426544,7.35
43.450333,4.426544,7.35
43.451783,4.426547,1.41
43.451045,4.426612,1.41
43.451045,4.426612,1.41
43.451122,4.426627,1.41
43.451924,4.426696,1.41
43.451971,4.426713,1.41
43.450925,4.426836,1.41
43.452118,4.426866,1.41
43.451741,4.426899,3.87
43.452852,4.426901,1.41
43.452000,4.426988,1.41
43.451606,4.426992,1.41
43.45233,4.427002,1.41
43.452193,4.427012,1.41
43.452389,4.427076,1.41
43.45187,4.427084,1.41
43.452096,4.427106,3.87
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,1.41
43.456002,4.427141,3.87
43.456002,4.427141,3.87
43.456002,4.427141,3.87
43.456002,4.427141,7.35
43.456002,4.427141,7.35
43.456002,4.427141,7.35
43.456002,4.427141,31.30
43.456002,4.427141,31.30
43.452338,4.427166,1.41
43.451915,4.42717,1.41
43.451804,4.427175,3.87
43.452476,4.427185,3.87
43.450774,4.42719,1.41
43.452488,4.427241,1.41
43.453162,4.427282,1.41
43.453162,4.427282,1.41
43.451372,4.42732,1.41
43.451677,4.427326,1.41
43.452644,4.427327,1.41
43.500545,4.427342,1.41
43.451925,4.427354,1.41
43.452299,4.427369,1.41
43.451579,4.427375,1.41
43.451372,4.427404,1.41
43.450399,4.427522,1.41
43.457668,4.427527,3.87
43.451459,4.427554,1.41
43.451192,4.427583,1.41
43.451418,4.427598,1.41
43.451418,4.427598,3.87
43.454236,4.427627,1.41
43.451338,4.427636,1.41
43.455306,4.427668,1.41
43.455306,4.427668,3.87
43.454369,4.427678,1.41
43.458308,4.427717,7.35
43.451173,4.427736,3.87
43.452313,4.427744,3.87
43.451244,4.427775,1.41
43.453013,4.427786,1.41
43.452125,4.4278,1.41
43.451993,4.427815,1.41
43.452086,4.427841,1.41
43.451213,4.427856,3.87
43.450455,4.427878,1.41
43.451139,4.427925,1.41
43.451186,4.427926,1.41
43.451683,4.427934,1.41
43.45192,4.427937,1.41
43.452666,4.428006,1.41
43.450666,4.428014,1.41
43.453091,4.428020,1.41
43.453091,4.428020,1.41
43.453091,4.428020,1.41
43.453091,4.428020,1.41
43.451132,4.428074,1.41
43.451132,4.428074,1.41
43.451132,4.428074,1.41
43.450685,4.428085,1.41
43.450685,4.428085,1.41
43.451955,4.428136,1.41
43.451955,4.428136,1.41
43.451779,4.428144,1.41
43.450754,4.428159,1.41
43.451904,4.428175,1.41
43.451523,4.428183,1.41
43.451044,4.428193,3.87
43.452107,4.428198,3.87
43.453201,4.428214,1.41
43.451016,4.428265,1.41
43.451016,4.428265,1.41
43.450992,4.428322,3.87
43.450476,4.428353,1.41
43.450476,4.428353,3.87
43.451547,4.428354,1.41
43.451488,4.428394,1.41
43.450998,4.42842,1.41
43.450921,4.428423,1.41
43.451539,4.428508,1.41
43.452514,4.428517,1.41
43.45095,4.428523,1.41
43.451522,4.428609,1.41
43.453095,4.428612,70.36
43.450909,4.428619,1.41
43.453860,4.428665,1.41
43.452343,4.428684,1.41
43.450927,4.428819,3.87
43.451521,4.428908,1.41
43.451411,4.428928,1.41
43.451411,4.428928,1.41
43.452196,4.429050,1.41
43.452196,4.429050,1.41
43.452196,4.429050,3.87
43.450432,4.429093,13.78
43.450649,4.429125,1.41
43.450649,4.429125,1.41
43.450649,4.429125,1.41
43.450649,4.429125,1.41
43.453752,4.429166,3.87
43.457955,4.429224,13.78
43.450575,4.429389,1.41
43.453991,4.429411,1.41
43.45083,4.429544,1.41
43.453509,4.429570,1.41
43.450832,4.429636,3.87
43.450832,4.429636,7.35
43.450462,4.429645,1.41
43.456424,4.429684,3.87
43.451866,4.429688,1.41
43.453666,4.42969,1.41
43.45042,4.429741,1.41
43.450681,4.429777,1.41
43.450503,4.429976,1.41
43.450842,4.430098,1.41
43.451649,4.430262,3.87
43.453793,4.430499,13.78
43.450543,4.43059,1.41
43.451057,4.431037,1.41
43.453741,4.431958,1.41
43.453741,4.431958,3.87
43.453741,4.431958,7.35
43.453741,4.431958,13.78
43.451551,4.432059,3.87
43.454402,4.432128,1.41
43.454402,4.432128,3.87
43.451689,4.432386,3.87
43.451689,4.432386,3.87
43.454332,4.433243,70.36
43.454753,4.433307,1.41
43.452245,4.433506,3.87
43.456263,4.433780,1.41
43.455477,4.434835,13.78
43.494646,4.435116,1.41
43.494646,4.435116,1.41
43.494646,4.435116,1.41
43.494646,4.435116,1.41
43.494646,4.435116,1.41
43.494646,4.435116,1.41
43.494646,4.435116,1.41
43.494646,4.435116,3.87
43.494646,4.435116,13.78
43.857108,4.439114,1.41
43.857108,4.439114,3.87
43.609291,4.449242,1.41
43.609291,4.449242,1.41
43.609291,4.449242,1.41
43.578624,4.450131,1.41
43.863889,4.451165,1.41
43.863889,4.451165,1.41
43.863889,4.451165,1.41
43.863889,4.451165,1.41
43.863889,4.451165,1.41
43.863889,4.451165,1.41
43.863889,4.451165,1.41
43.863889,4.451165,1.41
43.863889,4.451165,1.41
43.863889,4.451165,1.41
43.863889,4.451165,3.87
43.863889,4.451165,3.87
43.863852,4.45321,1.41
43.863852,4.45321,1.41
43.863848,4.454301,1.41
43.863927,4.454457,3.87
43.863866,4.454616,1.41
43.863878,4.454833,1.41
43.863893,4.45509,1.41
43.863909,4.455363,1.41
43.62182,4.456573,3.87
43.588043,4.462564,1.41
43.588043,4.462564,1.41
43.668827,4.467664,1.41
43.668827,4.467664,1.41
43.572838,4.472829,1.41
43.549663,4.473314,3.87
43.611176,4.47601,3.87
43.610285,4.476416,1.41
43.610285,4.476416,1.41
43.610285,4.476416,1.41
43.610285,4.476416,1.41
43.610285,4.476416,1.41
43.610285,4.476416,3.87
43.610285,4.476416,7.35
43.590642,4.476585,1.41
43.535064,4.477578,3.87
43.626637,4.478211,1.41
43.663447,4.479054,7.35
43.665058,4.486028,1.41
43.583326,4.496216,1.41
43.583326,4.496216,1.41
43.482065,4.501883,3.87
43.611526,4.51429,1.41
43.645281,4.515052,1.41
43.658318,4.532559,3.87
43.645785,4.536384,1.41
43.645785,4.536384,1.41
43.645785,4.536384,1.41
43.639329,4.537824,31.30
43.639329,4.537824,31.30
43.583905,4.542069,3.87
43.610355,4.544589,1.41
43.689702,4.546699,3.87
43.630539,4.548303,3.87
43.550362,4.54987,1.41
43.569283,4.551266,3.87
43.593971,4.553576,7.35
43.609109,4.557177,1.41
43.609109,4.557177,1.41
43.585429,4.558845,1.41
43.585429,4.558845,1.41
43.670799,4.560348,1.41
43.825435,4.565218,1.41
43.645519,4.573269,1.41
43.645519,4.573269,1.41
43.645519,4.573269,1.41
43.668979,4.576009,1.41
43.668979,4.576009,13.78
43.688524,4.58486,1.41
43.688524,4.58486,1.41
43.688524,4.58486,1.41
43.688524,4.58486,1.41
43.688524,4.58486,1.41
43.688524,4.58486,1.41
43.688524,4.58486,1.41
43.688524,4.58486,1.41
43.688524,4.58486,3.87
43.688524,4.58486,7.35
43.688524,4.58486,13.78
43.657413,4.586311,1.41
43.677455,4.588833,1.41
43.677686,4.590095,7.35
43.677856,4.591003,1.41
43.679192,4.591253,1.41
43.675521,4.591457,1.41
43.669673,4.591459,1.41
43.669673,4.591459,3.87
43.669673,4.591459,3.87
43.669673,4.591459,7.35
43.669673,4.591459,7.35
43.679936,4.595259,3.87
43.700056,4.595273,1.41
43.680832,4.596553,1.41
43.682746,4.596953,13.78
