X,Y,COMMUNE,DESIGNATIO,TYPE,STATUT,ADRESSE,CODEPOSTAL
5.460133914591351,43.511550416551685,AIX EN PROVENCE,EMILE ZOLA,LYP,PUBLIC,Arc de Meyran - BP 22,13601
5.459426457499362,43.534660621065584,AIX EN PROVENCE,PAUL CEZANNE,LYP,PUBLIC,Avenue J et M Fontenaille,13100
5.455604141937598,43.52792150726583,AIX EN PROVENCE,VAUVENARGUES,LYP,PUBLIC,60 boulevard Carnot,13100
5.458673747393131,43.520022867546075,AIX EN PROVENCE,GAMBETTA,LP,PUBLIC,86 bis Cours Gambetta,13100
5.45745836817761,43.529199315257934,AIX EN PROVENCE,VAUVENARGUES,LP,PUBLIC,60 boulevard Carnot,13100
5.46027132458269,43.510696323795031,AIX EN PROVENCE,EMILE ZOLA,LP,PUBLIC,Arc de Meyran - BP 22,13601
5.411546605974323,43.480280776214919,LUYNES,GEORGES DUBY,LEGT,PUBLIC,Quartier Rempelin- Luynes,
5.549382637575558,43.287285953074594,AUBAGNE,GUSTAVE EIFFEL,LP,PUBLIC,6 avenue Manouchian - BP 543,13400
5.560373961321485,43.292414697629887,AUBAGNE,FREDERIC JOLIOT-CURIE,LYP,PUBLIC,Avenue des Goums,13677
5.603443715567914,43.185080215162145,LA CIOTAT,AUGUSTE & LOUIS LUMIERE,LYP,PUBLIC,Avenue Jules Ferry,13600
5.613303359029377,43.191455888484171,LA CIOTAT,DE LA MEDITERRANEE,LYP,PUBLIC,Quartier de la Plaine,13600
5.468660896643875,43.452833085314033,GARDANNE,DE L'ETOILE,LP,PUBLIC,14 rue Jules Ferry - BP 125,13542
5.455428580833201,43.468316245708756,GARDANNE,AIX-VALABRE,LEGTA,PUBLIC,Chemin du moulin fort,13548
5.479418243719007,43.454575867168053,GARDANNE,MARIE-MADELEINE FOURCADE,LYP,PUBLIC,Avenue du Groupe Manouchian,13120
4.996362504535909,43.503915076665081,ISTRES,LATECOERE,LP,PUBLIC,Avenue des Bolles,13800
4.988199925384947,43.503083554125993,ISTRES,ARTHUR RIMBAUD,LYP,PUBLIC,Quartier des Salles,13808
5.217206036239023,43.419921659974797,MARIGNANE,LOUIS BLERIOT,LP,PUBLIC,8 boulevard de la Libération - BP 10,13700
5.206350589052826,43.412943831928956,MARIGNANE,MAURICE GENEVOIX,LP,PUBLIC,Avenue du Général De Gaulle,13700
5.205579304207212,43.413882313638972,MARIGNANE,MAURICE GENEVOIX,LYP,PUBLIC,Avenue du Général De Gaulle,13700
5.058828656100727,43.421825103343039,MARTIGUES,PAUL LANGEVIN,LYP,PUBLIC,Avenue Fleming - BP 19,13691
5.033122271565693,43.417222262489538,MARTIGUES,JEAN LURCAT,LYP,PUBLIC,Bd des Rayettes - BP 129,13693
5.034599155765002,43.417043153344387,MARTIGUES,JEAN LURCAT,LP,PUBLIC,Bd des Rayettes - BP 129,13693
5.002717388498764,43.59810289764355,MIRAMAS,LES ALPILLES,LP,PUBLIC,Quartier Les Molières,13140
5.00934472929595,43.586915063935599,MIRAMAS,JEAN COCTEAU,LYP,PUBLIC,Boulevard Saint Exupéry,13140
5.321476204958368,43.395911792367855,LES PENNES MIRABEAU,LOUIS ARAGON,EREA,PUBLIC,Chemin de la Grande Colle - BP 48,13758
4.99302427542076,43.40763181215533,PORT DE BOUC,JEAN MOULIN,LP,PUBLIC,1 boulevard Marcel Cachin,13110
4.980733170058762,43.409045505711291,PORT DE BOUC,CHARLES MONGRAND,LP,PUBLIC,Boulevard Cristofol,13110
5.037301404298891,43.547324692785892,SAINT CHAMAS,LES FERRAGES,LP,PUBLIC,Quartier Les Ferrages,13250
4.836155899033415,43.791913270056376,SAINT REMY DE PROVENCE,LES ALPILLES,LPA,PUBLIC,91 Avenue Edouard Herriot,13210
5.097858080303479,43.638591553074292,SALON DE PROVENCE,DE L'EMPERI,LYP,PUBLIC,Montée du Puech,13300
5.097325872490785,43.635449094391696,SALON DE PROVENCE,ADAM DE CRAPONNE,LYT,PUBLIC,Rue de Chateauredon - BP 331,13668
5.097314052207969,43.63441282191593,SALON DE PROVENCE,ADAM DE CRAPONNE,LP,PUBLIC,Rue de Chateauredon - BP 331,13668
5.245985447638375,43.446430653582233,VITROLLES,PIERRE MENDES-FRANCE,LYP,PUBLIC,Avenue Yitzhak RABIN,13741
5.272384747580267,43.424985479299878,VITROLLES,JEAN MONNET,LYP,PUBLIC,Boulevard Rhin et Danube,13127
5.391052476187793,43.30593838937849,MARSEILLE,SAINT-CHARLES,LYP,PUBLIC,90 rue Grobet,13232
5.382575734740869,43.296902413557852,MARSEILLE,THIERS,LYP,PUBLIC,5 Place du Lycée,13232
5.379713997888613,43.304700907306703,MARSEILLE,VICTOR HUGO,LYP,PUBLIC,Boulevard Gustave Desplaces,13003
5.371413683423736,43.314252862965432,MARSEILLE,LE CHATELIER,LP,PUBLIC,108 avenue Roger Salengro,13003
5.399069713887358,43.301288650678188,MARSEILLE,MICHELET,LYP,PUBLIC,21 avenue Maréchal Foch,13004
5.400458686928512,43.293325502824892,MARSEILLE,MARIE CURIE,LYT,PUBLIC,Boulevard Jeanne d'Arc,13005
5.378352502076404,43.291334017599425,MARSEILLE,MONTGRAND,LYP,PUBLIC,13 rue Montgrand,13291
5.365314794997428,43.289209796806098,MARSEILLE,REMPART,LYT,PUBLIC,1 rue du Rempart,13007
5.357386473457104,43.287793681040228,MARSEILLE,COLBERT,LP,PUBLIC,13 rue du Capitaine Dessemond,13007
5.364608853564111,43.288686754652751,MARSEILLE,LEONARD DE VINCI,LP,PUBLIC,8 rue du Rempart,13007
5.381435708857829,43.281259802467474,MARSEILLE,PERIER,LYP,PUBLIC,270 rue Paradis,13295
5.377852919948035,43.240345860991212,MARSEILLE,MARSEILLEVEYRE,LYP,PUBLIC,83 traverse Parangon,13285
5.380327120876579,43.242869819995221,MARSEILLE,GERMAINE POINSO-CHAPUIS,LP,PUBLIC,49 traverse Parangon,13008
5.391338772585658,43.258808782379468,MARSEILLE,FREDERIC MISTRAL,LP,PUBLIC,46 boulevard de Sainte Anne,13417
5.385491648220921,43.254527385656921,MARSEILLE,LEAU,LP,PUBLIC,63 boulevard Leau,13008
5.386703211674999,43.261922834371838,MARSEILLE,HONORE DAUMIER,LCM,PUBLIC,46 avenue Clot Bey,13008
5.377850066593949,43.237283221793405,MARSEILLE,DES CALANQUES,LPA,PUBLIC,Marseilleveyre,13008
5.392125726780017,43.245328923402454,MARSEILLE,HOTELIER,LYT,PUBLIC,114 avenue André Zénatti,13295
5.435394083195708,43.282705378032439,MARSEILLE,MARCEL PAGNOL,LYP,PUBLIC,128 boulevard de Saint Loup,13395
5.425081956652704,43.274034788847374,MARSEILLE,JEAN PERRIN,LYT,PUBLIC,74 rue Verdillon,13395
5.403684934246788,43.28269837607229,MARSEILLE,JEAN-BAPTISTE BROCHIER,LP,PUBLIC,9 boulevard Mireille Lauze,13010
5.42354281656925,43.279762778543585,MARSEILLE,AMPERE,LP,PUBLIC,56 Bd Romain Rolland,13395
5.43933248411948,43.286355347812425,MARSEILLE,RENE CAILLIE,LP,PUBLIC,173 boulevard de St loup,13396
5.477334128472543,43.285616139024505,MARSEILLE,CAMILLE JULLIAN,LP,PUBLIC,50 boulevard de la Barasse,13396
5.42085795261867,43.313445655098825,MARSEILLE,BLAISE PASCAL,LP,PUBLIC,49 traverse Capron,13012
5.413981252832937,43.324919890894606,MARSEILLE,DENIS DIDEROT,LYT,PUBLIC,23 boulevard Lavéran,13013
5.423238196309653,43.340914823372444,MARSEILLE,ANTONIN ARTAUD,LYP,PUBLIC,Ch. Notre Dame de la Consolation,13013
5.375766884965657,43.336831734142812,MARSEILLE,LA FLORIDE,LP,PUBLIC,54 boulevard Gay Lussac Z.I.N. 903,13333
5.353749997987167,43.346361801913233,MARSEILLE,SAINT-EXUPERY,LYP,PUBLIC,529 Chemin de la Madrague Ville,13015
5.35548544649764,43.359031867414906,MARSEILLE,LA VISTE,LP,PUBLIC,Traverse Bonnet,13015
5.353781241487037,43.342017334081156,MARSEILLE,LA CALADE,LP,PUBLIC,430 Chemin de la Madrague Ville,13015
5.325344384243288,43.362448250876376,MARSEILLE,L'ESTAQUE,LP,PUBLIC,310 rue Rabelais,13016
5.506138103048541,43.709308089351389,PERTUIS,VAL DE DURANCE,LYP,PUBLIC,Route de l'Etang de la Bonde,84120
5.23543754628303,43.396411601029556,GIGNAC-LA-NERTHE,SAINT LOUIS STE MARIE,LYCEE,PRIVE,,
5.371963456976665,43.406746115362253,SEPTEMES-LES-VALLONS,SAINTE ELIZABETH,LYCEE,PRIVE,TRA DU STADE - CAILLOLS,
5.369336095532558,43.303958268914847,MARSEILLE,LA JOLIETTE,LYCEE,PRIVE,RUE VINCENT LEBLANC,
5.372189228847138,43.304266767247974,MARSEILLE,BELSUNCE (FREDERIC OZANAM),LYCEE,PRIVE,RUE FAUCHIER,
5.369154985180226,43.303862791824521,MARSEILLE,LA JOLIETTE,LYCEE,PRIVE,RUE VINCENT LEBLANC,
5.394961898200036,43.300917004122972,MARSEILLE,ST JOSEPH DE LA MADELEINE,LYCEE,PRIVE,BD DE LA LIBERATION,
5.397895395172284,43.298399571280065,MARSEILLE,E.F.E.T.,LYCEE,PRIVE,RUE EDMOND DANTES,
5.40203521032192,43.302717665474447,MARSEILLE,CHEVREUL BLANCARDE,LYCEE,PRIVE,RUE ST FRANCOIS DE SALES,
5.406170497823163,43.304726704867363,MARSEILLE,SAINTE MARIE,LYCEE,PRIVE,BD DE LA BLANCARDE,
5.387345457936547,43.296578288000575,MARSEILLE,SAINT MICHEL (ANN. ST CH. CAMAS),LYCEE,PRIVE,RUE SAINT SAVOURNIN,
5.3938777176372,43.298204743896378,MARSEILLE,SAINT CHARLES CAMAS,LYCEE,PRIVE,RUE DU CAMAS,
5.377227689420456,43.284606122371358,MARSEILLE,NOTRE DAME DE FRANCE,LYCEE,PRIVE,RUE BRETEUIL,
5.374417933763325,43.288293584828907,MARSEILLE,CHARLES PEGUY,LYCEE,PRIVE,RUE SYLVABELLE,
5.374469105114628,43.288408649633489,MARSEILLE,CHARLES PEGUY,LYCEE,PRIVE,RUE SYLVABELLE,
5.377256962740614,43.28943920173085,MARSEILLE,PHOCEA ATTOYAN,LYCEE,PRIVE,RUE D'ARCOLE,
5.37891163907412,43.285566064634928,MARSEILLE,DON BOSCO,LYCEE,PRIVE,RUE STANISLAS TORRENTS,
5.378977466789536,43.285842618245148,MARSEILLE,DON BOSCO,LYCEE,PRIVE,RUE STANISLAS TORRENTS,
5.377979420055123,43.287375769404441,MARSEILLE,SAINT VINCENT DE PAUL,LYCEE,PRIVE,RUE STANISLAS TORRENTS,
5.381177407764382,43.292641128546208,MARSEILLE,SAINT THOMAS D'AQUIN,LYCEE,PRIVE,RUE DIEUDE,
5.382458617398101,43.282396280429403,MARSEILLE,EDMOND ROSTAND,LYCEE,PRIVE,RUE EDMOND ROSTAND,
5.381686771591949,43.282712516455234,MARSEILLE,NOTRE DAME DE SION,LYCEE,PRIVE,RUE PARADIS,
5.381891310318796,43.286572386890072,MARSEILLE,SAINT JOSEPH MARISTES,LYCEE,PRIVE,RUE SAINTE VICTOIRE,
5.382377156982453,43.28618625236453,MARSEILLE,ECOLE PRATIQUE DE COMMERCE,LYCEE,PRIVE,RUE SAINTE VICTOIRE,
5.382209164051199,43.289035644694913,MARSEILLE,ESTHETIQUE ET PARFUMERIE  S.LACOM,LYCEE,PRIVE,RUE DE ROME,
5.382985683551629,43.294207338175582,MARSEILLE,INSTITUT LESCHI,LYCEE,PRIVE,COURS JULIEN,
5.388676228664695,43.288120330920606,MARSEILLE,MAXIMILIEN DE SULLY,LYCEE,PRIVE,RUE DE LODI,
