nom,lon,lat
Bibliothèque de l'Université - section ondotologie,5.400158,43.289485
Bibliothèque OCB St Jean,5.389589,43.2868156
Bibliothèque OCB Dragon,5.381501,43.288507
Ludothèque Françoise Dolto,5.627899,43.368915
Bibliothèque OCB Plaisir de lire,5.3782513,43.2370789
Bibliothèque OCB Les Olives,5.4551289,43.3250269
Bibliothèque OCB Prado plage,5.3757672,43.2659503
Bibliothèque Municipale,5.747153,43.360967
Médiathèque municipale Pablo Neruda,5.517273,43.277715
Bibliothèque du Musée d'Histoire de Marseille en Travaux,5.37595,43.296731
Bibliothèque diocésaine Charles de Provenchères,5.451338,43.532472
Médiathèque municipale,5.584661,43.426728
Bibliothèque municipale annexe Georges Brassens,5.249703,43.458598
Bibliothèque OCB Escale Chatreux,5.4010025,43.3065333
Bibliothèque OCB Bagatelle,5.3815536,43.2694368
Bibliothèque OCB Roucas Blanc,5.3683297,43.2850182
Bibliothèque municipale,5.542786,43.432271
Bibliothèque Municipale,5.700207,43.274695
Bibliothèque OCB Cristofol,5.3817136,43.3106467
Bibliothèque OCB St Barnabé,5.4196912,43.3042606
Annexe de Jonquières (Médiathèque),5.056639,43.399381
Bibliothèque OCB St Giniez,5.3851706,43.2696883
Bibliothèque OCB Milan St Giniez,5.3877257,43.2657468
Bibliothèque U. Technopôle Château-Gombert,5.436682,43.341924
Bibliothèque OCB Saint Georges,5.358748,43.288574
Archives municipales,5.445896,43.530276
Bibliothèque OCB St Julien,5.445804,43.3114225
Bibliothèque de théâtre contemporain,5.36901,43.306044
Bibliothèque OCB Endoume,5.3559301,43.2838875
Médiathèque Marcel Pagnol,5.576824,43.289644
Bibliothèque OCB Prado Perier,5.388162,43.282355
Médiathèque municipale,5.6011194,43.3781106
Bibliothèque OCB Sainte-Anne,5.420671,43.312132
Bibliothèque OCB Huveaune,5.3908571,43.2682912
Bibliothèque OCB Corderie,5.3700719,43.2904253
Bibliothèque du Musée Arbaud,5.4499552,43.5263247
