nom,lon,lat
Cite des Associations,5.3820077249,43.2983469344
Bibliotheque Alcazar,5.3768197433,43.2989416661
Esplanade Bargemon,5.3698577452,43.2968221637
Espace Museal Bargemon,5.3702404626,43.2969907647
Office du tourisme,5.3762078287,43.296057193
La vieille charite,5.3679892875,43.3002467509
Museum d'histoires naturelles,5.3945648118,43.3038920871
Musee des beaux arts,5.3940382719,43.3045101832
Bibliotheque des 5 avenues,5.3963906636,43.3019969415
Esplanade du Parc Longchamp,5.3964852356,43.3056930047
Mairie 4/5,5.3990313055,43.2975991812
Mairie 11/12,5.4433308848,43.2975528017
Parc de la Moline,5.4240088569,43.3141781392
Parc Pastre,5.3668062307,43.239736885
Bibliotheque de Bonneveine,5.3887102169,43.2491639287
Musee d'Art Contemporain,5.3899713203,43.2506589524
Musee Borely,5.3820612761,43.2572941072
Parc Borely,5.379899273,43.2615893395
Parc de Bagatelle,5.3823506326,43.270117928
Mairie 9/10,5.4161017451,43.2676310914
Bibliotheque de la grognarde,5.4341331857,43.2942313627
Bibliotheque de saint Andre,5.3426436395,43.3574610745
Mairie 13/14,5.3799001602,43.3452774444
Mairie 15/16 - Parc F. Billoux,5.3664494301,43.3330790583
Bibliotheque du merlan,5.3992266671,43.331018246
Archives Municipales,5.3871743008,43.3090414503
Musee Cantini,5.3781905183,43.2922125481
Musee d'histoire de Marseille,5.3745515819,43.2972106102
Mairie 1/7,5.3830212785,43.2986996592
Place Henri Verneuil,5.3678993719,43.3090228939
Palais du Pharo,5.358688757,43.2942266668
Parc Longchamp Jardin Zoologique,5.3976292806,43.3066467559
Mairie 15/16 - Villa Laplace,5.3650486759,43.3332545804
Stade de Luminy,5.4310795901,43.238014435
Mairie 6/8,5.3828816326,43.2706122579
Palais Carli,5.3836021907,43.2960544741
Base Nautique de Corbiere,5.2934914432,43.3586309109
Notre Dame de la Garde,5.3711275499,43.2842333191
Parc balneaire du Prado 1,5.3692754524,43.2644121828
Parc balneaire du Prado 2,5.3722368552,43.2622492377
Parc balneaire du Prado 3,5.3732147733,43.2520222804
Bureau Municipal de Proximite La Rose,5.427506312,43.3310299244
Bureau Municipal de Proximite Saint Antoine,5.3563036005,43.3763863575
Bureau Municipal de Proximite Prado,5.3896547558,43.2763914772
BMdP Pont de Vivaux,5.4172211692,43.2767887692
Bureau Municipal de Proximite saint Barnabe,5.4186499627,43.3035357659
